title,year,stars
A Fool Such As I,2002,['9']
Aberdeen,2000,['9']
(A) Higher Calling to an Ordinary People,2008,['7']
Aberdeen,2000,['9']
Above the Mighty Beast,2008,['8']
Absolutely San Jos,2004,['9']
Absolutely Sweet California,1998,"['7', '12']"
Ace of Clubs,1999,['8']
Aces,2001,['9']
Acetates on the Tracks 1,1998,['8']
Acetates on the Tracks 2,1998,['8']
Acetates on the Tracks 3,1998,"['7', '9']"
Acetates on the Tracks 4,1998,['8']
Acoustic Man In Augusta,2002,['8']
Acoustic Set NYC 1963,1989,['6']
Acoustic Thunder,1999,"['6', '7']"
Acoustic Troubadour,1990,['7']
Across the Borderline,2000,['8']
"Dublin May 5,1966",1988,"['6', '12']"
"After 37 Years, Bring It All Back To Newport",2002,"['7', '12']"
After the Crash Vol. 1,1993,['5']
After the Crash Vol. 2,1993,['6']
After the Heartattack,1998,['9']
After the Heartattack Vol. II,1998,['9']
Afternoon Acoustic,2001,['9']
"Ain,t It A Shame",2007,['8']
Alias,1998,"['8', '10']"
Ain't Slept In Three Days,2008,['7']
Air Burns (The,2008,"['8', '12']"
Alias,1998,"['8', '10']"
Alias,1998,['10']
Alias Vol. 3,1998,['10']
Alias,1998,"['8', '9']"
Alias,1998,['10']
All Ages Catch Bob,2002,"['8', '9']"
All Along The Roseland,1997,"['8', '12']"
All American Boy,1997,['5']
All Hallows Eve,1996,['10']
All the way down to Italy,1991,"['8', '9']"
Almost Went To See Elvis,1997,['9']
Almost Worth A Prize,2002,['8']
Alternate Infidels,2003,['9']
Alternates And Retakes,2001,"['8', '9']"
Always Down The Road,1995,['8']
Always Down The Road,1995,['8']
Always On My Mind Vol. 1,1997,['9']
Always On My Mind Vol. 2,1997,['9']
Always On My Mind Vol. 2,1997,['9']
Second Amazing Night,2003,['8']
Ancient Footprints,2009,"['8', '8', '12']"
Ancient Odes,1997,['5']
And A Cannon Ball Blew My Eyes Away,2006,['9']
And Then I Landed In Brussels,2002,['8']
Angels On His Wing,2001,['9']
Anniversary Concert,1992,"['8', '9']"
Answer Me,1993,['8']
Another Side of Modern Times,2007,['8']
Apollo Landing,1993,['7']
Axxxxxx,2006,['10']
Are You Ready for the Carnival,1992,['7']
As Good As It Gets,1993,"['8', '9', '12']"
As I Went Out One Evening,2004,"['7', '8']"
At The Beeb,2003,"['8', '9']"
At The Beeb,1965,"['8', '9']"
A,0000,[]
At The Globe Arena,1998,['10']
At The Spectrum 1974,1998,"['6', '7']"
At The Warehouse,0000,[]
Atlantic City 27.02.99,1999,['8']
Avignon,1995,"['9', '12']"
Away From The Past,2000,['4']
Baby Let Me Follow You Down,1995,['8']
Back At Wolftrap,1997,"['8', '12', '9']"
Back In The Hollywood Bowl 1965,1998,['8']
Back In The Hollywood Bowl 1965,1998,['8']
B,0000,[]
Baez Years 1963,2004,['8']
Ballad of a Blue Poet,1992,"['1', '3']"
Ballad Of Bob,1995,['7']
Banjo Tape,1994,['8']
bathed in a stream of PURE HEAT,2001,['9']
Be My Guest,1998,"['6', '9']"
Beacon Blues Again,1992,"['7', '12']"
Before and After the Flood,1992,"['7', '8']"
Before the Crash Vol 1,1992,"['7', '8']"
Before the Crash Vol 2,1992,"['7', '8']"
Before The Flood,1993,['8']
Behind The Sun,2009,"['8', '12']"
Belgrad '91,1992,"['6', '7']"
Bergen 2001,2001,"['9', '9', '12']"
Berlin 2002,2002,['9']
Berlin Arena 11 April 2002,2002,['9']
Best Of the Basement Tapes,2001,['8']
Best of British,2000,['8']
B,2002,"['8', '9']"
Best Wishes,1997,['6']
Bette Davies Style,1999,['9']
Better Contract,2003,['8']
Between Saved,1999,"['7', '8', '9', '10']"
Big Bob,1996,['9']
Bird's Nest In Your Hair,1999,['8']
Birmingham 2000,2001,['9']
Birmingham 2002,2002,['9']
Birmingham 2007,2007,['8']
Birmingham 2002,2002,['9']
Birmingham 2005,2006,['9']
Birmingham 2007,2007,['8']
Blackbushe,1978,"['6', '7']"
Bleeding Shadows,2004,"['9', '10']"
Blind Willie In Nova Scotia,2002,['8']
Blonde On Blonde mono,1995,['10']
Blood and Thunder,1997,['7']
Blood of the Lamb,2008,"['7', '8']"
Blood On The Tapes,1997,['10']
Blood on the Tracks NY,2001,['10']
Blown Out on the Trail,1996,['9']
Blue,1995,['9']
Bob And Jerry,1995,"['8', '12']"
At The Beeb,1965,"['8', '9']"
Live Adventues,1994,['10']
At The Beeb,1965,"['8', '9']"
Live USA,0000,['9']
